,ID,Name,N_from,N_from_2023,N_to,N_to_2023,delay_frac_from,delay_frac_from_2023,delay_frac_to,delay_frac_to_2023
5,10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",19235,1044,19334,1042,0.24003119313750976,0.16475095785440613,0.2348194889831385,0.16698656429942418
168,13184,"Saginaw/Bay City/Midland, MI: MBS International",18994,919,19056,919,0.1357270717068548,0.14036996735582155,0.1632031905961377,0.16104461371055495
119,12003,"Great Falls, MT: Great Falls International",18974,1701,19016,1703,0.08943817856013492,0.10758377425044091,0.12074042911232646,0.11978860833822666
58,11049,"College Station/Bryan, TX: Easterwood Field",18327,700,18347,700,0.12571615649042397,0.15714285714285714,0.15572028124489018,0.14857142857142858
21,10469,"Kalamazoo, MI: Kalamazoo/Battle Creek International",18170,534,18193,533,0.11997798569069895,0.08801498127340825,0.15791788050349034,0.11444652908067542
86,11503,"Eagle, CO: Eagle County Regional",17965,2273,18054,2285,0.20478708600055665,0.25164980202375714,0.20095269746316605,0.19824945295404814
183,13360,"Melbourne, FL: Melbourne Orlando International",17887,1796,17910,1798,0.12701962319002627,0.14365256124721604,0.14986041317699608,0.17018909899888765
36,10732,"Aguadilla, PR: Rafael Hernandez",17481,1920,17352,1921,0.2661174989989131,0.41510416666666666,0.30520977408944217,0.44560124934929723
70,11203,"Mosinee, WI: Central Wisconsin",17296,730,17329,732,0.14720166512488436,0.1095890410958904,0.17381268394021582,0.12158469945355191
1,10136,"Abilene, TX: Abilene Regional",17262,796,17277,796,0.14557988645579886,0.1620603015075377,0.17121027956242404,0.13316582914572864
104,11778,"Fort Smith, AR: Fort Smith Regional",17229,701,17253,702,0.13332172499854897,0.11840228245363767,0.1802005448327827,0.1225071225071225
100,11695,"Flagstaff, AZ: Flagstaff Pulliam",16567,1012,16601,1021,0.09645681173417034,0.1007905138339921,0.0984278055538823,0.10381978452497552
198,13795,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",16505,727,16541,728,0.1518933656467737,0.13342503438789546,0.18354392116558854,0.13324175824175824
61,11067,"Champaign/Urbana, IL: University of Illinois/Willard",16407,934,16442,937,0.1505454988724325,0.10492505353319058,0.20739569395450674,0.13660618996798293
212,14098,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",15967,0,16018,0,0.15381724807415295,,0.1836683730802847,
154,12915,"Lake Charles, LA: Lake Charles Regional",15659,686,15677,686,0.11456670285458842,0.14285714285714285,0.14588250302991643,0.1326530612244898
65,11122,"Casper, WY: Casper/Natrona County International",15423,1036,15464,1040,0.10516760682098165,0.1583011583011583,0.128039317123642,0.18269230769230768
238,14674,"Santa Fe, NM: Santa Fe Municipal",15356,1142,15395,1141,0.1669054441260745,0.15586690017513136,0.1695355634946411,0.12971078001752848
108,11898,"Grand Forks, ND: Grand Forks International",15174,848,15207,850,0.1059048372215632,0.13797169811320756,0.12303544420332742,0.12941176470588237
124,12156,"Helena, MT: Helena Regional",14949,918,14962,919,0.0627466720181952,0.07625272331154684,0.10773960700441118,0.10228509249183895
